ID,ISBN,judul,kategori,jumlah
1352,9796625895,Buku Guru Sejarah untuk SMA MA Kelas X Kurikulum 2013 Peminatan Ilmu-Ilmu Sosial,Kelas 10,0
1353,9796625734,Buku Guru Sosiologi untuk SMA MA Kelas X Kurikulum 2013 Peminatan Ilmu-Ilmu Sosial,Kelas 10,0
2472,9786022824718,Buku Siswa: Pendidikan Pancasila dan Kewarganegaraan SMA MA SMK MAK Kelas X Semester 1,Kelas 10,0
2473,9786022824718,Buku Siswa: Pendidikan Pancasila dan Kewarganegaraan SMA MA SMK MAK Kelas X Semester 2,Kelas 10,0
2474,9786022824879,Buku Siswa: Bahasa Indonesia Ekspresi Diri dan Akademik SMA MA SMK MAK Kelas X,Kelas 10,0
2475,9786022824794,Buku Siswa: Bahasa Inggris SMA MA SMK MAK Kelas X Semester 1,Kelas 10,0
2476,9786022824790,Buku Siswa: Bahasa Inggris SMA MA SMK MAK Kelas X Semester 2,Kelas 10,0
2477,9786022824916,Buku Siswa: Matematika SMA MA SMK MAK Kelas X Semester 2 (Edisi Revisi 2014),Kelas 10,0
2478,9786022824911,Buku Siswa: Sejarah Indonesia SMA MA SMK MAK Kelas X Semester 1,Kelas 10,0
2479,9786022824961,Buku Siswa: Sejarah Indonesia SMA MA SMK MAK Kelas X Semester 2 Edisi Revisi,Kelas 10,0
2480,9786022824640,Buku Siswa: Pendidikan Jasmani Olahraga dan Kesehatan SMA MA SMK MAK Kelas X,Kelas 10,0
2481,9786022824572,Buku Siswa: Seni Budaya SMA MA SMK MAK Kelas X,Kelas 10,0
2482,9786022824497,Buku Siswa: Prakarya dan Kewirausahaan SMA MA SMK MAK Kelas X Semester 1,Kelas 10,0
2483,9786022824015,Buku Siswa: Pendidikan Agama Islam dan Budi Pekerti SMA MA SMK MAK Kelas X,Kelas 10,0
2484,9786022824091,Buku Siswa: Pendidikan Agama Kristen SMA MAK SMK MAK Kelas X,Kelas 10,0
2485,9786022824176,Buku Siswa: Pendidikan Agama Katolik dan Budi Pekerti SMA SMK Kelas X,Kelas 10,0
2486,9786022824251,Buku Siswa: Pendidikan Agama Hindu dan Budi Pekerti SMA SMK Kelas X,Kelas 10,0
2487,9786022824336,Buku Siswa: Pendidikan Agama Budha dan Budi Pekerti SMA SMK Kelas X,Kelas 10,0
2488,9786022824411,Buku Siswa: Pendidikan Agama Konghucu dan Budi Pekerti SMA SMK Kelas X,Kelas 10,0
2489,,Baud Basa Jawa Kelas X SMA,Kelas 10,0
2490,9792815610,Buku Siswa: Biologi untuk SMA MA Kelas X Kurikulum 2013,Kelas 10,0
2491,9792815771,Buku Siswa: Fisika untuk SMA MA Kelas X Kurikulum 2013,Kelas 10,0
2493,9796625697,Buku Siswa: Sosiologi untuk SMA MA Kelas X Kurikulum 2013 Peminatan Ilmu-Ilmu Sosial,Kelas 10,0
2494,9796625611,Buku Siswa: Ekonomi untuk SMA MA kelas X kurikulum 2013,Kelas 10,0
2495,9792815658,Buku Guru: Biologi untuk SMA MA Kelas X Kurikulum 2013 Peminatan Matematika dan Ilmu-Ilmu Alam,Kelas 10,0
2496,9792815818,Buku Guru: Fisika untuk SMA MA Kelas X Kurikulum 2013 Peminatan Matematika dan Ilmu-Ilmu Alam,Kelas 10,0
2497,9796625895,Buku Guru: Sejarah untuk SMA MA Kelas X Kurikulum 2013 Peminatan Ilmu-Ilmu Sosial,Kelas 10,0
2498,9796625734,Buku Guru: Sosiologi untuk SMA MA Kelas X Kurikulum 2013 Peminatan Ilmu-Ilmu Sosial,Kelas 10,0
2499,9789796625642,Buku Guru: Ekonomi untuk SMA MA Kelas X Kurikulum 2013,Kelas 10,0
2645,9789790956704,Pendidikan Kewarganegaraan untuk SMA MA kelas X,Kelas 10,0
2646,9794629731,Developing English Competencies For Senior School (SMA MA) Grade X,Kelas 10,0
2647,,Kompetensi Fisika Kelas X untuk SMA MA,Kelas 10,0
2648,9789790681361,Panduan Pembelajaran Biologi untuk SMA & MA Kelas X,Kelas 10,0
2649,9789790681798,Kimia untuk SMA MA Kelas X,Kelas 10,0
2650,9789790680616,SEJARAH untuk SMA MA kelas X,Kelas 10,0
2651,9789790681408,Geografi X SMA MA,Kelas 10,0
2652,9789790681927,Ekonomi untuk SMA MA Kelas X,Kelas 10,0
2653,9789790682184,Sosiologi Kontekstual untuk SMA & MA kelas X,Kelas 10,0
2654,9789790950054,Pendidikan Jasmani olahraga dan kesehatan untuk SMA MA SMK kelas X,Kelas 10,0
2655,,Teknologi Informasi dan Komunikasi SMA MA Kelas X,Kelas 10,0
2656,9789792813005,Kulina Basa Jawa X SMA MA,Kelas 10,0
2657,9789790956858,Pendidikan Agama Islam kelas 10 untuk SMA,Kelas 10,0
2695,,Seni Tari untuk SMA MA Kelas X-XII,Kelas 10,0
2696,9794628670,Bahasa Indonesia 1 untuk SMK MAK Semua Program Keahlian Kelas X,Kelas 10,0
2697,9794629324,English For SMK 1 Grade X,Kelas 10,0
2698,9786028320344,Ilmu Pengetahuan Sosial (IPS) Jilid 1 untuk SMK,Kelas 10,0
2699,9786028320733,Matematika SMK Bisnis dan Manajemen Jilid 1,Kelas 10,0
2700,9786028320238,Fisika SMK Non Teknologi Jilid 1,Kelas 10,0
2701,9786028320269,Fisika SMK Teknologi Jilid 1,Kelas 10,0
2702,9786028320450,Kimia Jilid 1 untuk SMK,Kelas 10,0
2703,9786028320481,Kimia Kesehatan Jilid 1,Kelas 10,0
2705,9789790600119,Seni Budaya Jilid 2 untuk SMK,Kelas 10,0
2707,9786028320344,Ilmu Pengetahuan Sosial (IPS) Jilid 2 untuk SMK,Kelas 10,0
2709,9786028320153,Biologi Pertanian untuk Sekolah Menengah Kejuruan Jilid 2,Kelas 10,0
2710,9786028320238,Fisika SMK Non Teknologi Jilid 2,Kelas 10,0
2711,9786028320269,Fisika SMK Teknologi Jilid 2,Kelas 10,0
2712,9786028320450,Kimia Jilid 2 untuk SMK,Kelas 10,0
2713,9786028320481,Kimia Kesehatan Jilid 2,Kelas 10,0
2717,9786028320153,Biologi Pertanian untuk Sekolah Menengah Kejuruan Jilid 3,Kelas 10,0
2718,9786028320269,Fisika SMK Teknologi Jilid 3,Kelas 10,0
2719,9786028320481,Kimia Kesehatan Jilid 3,Kelas 10,0
2720,9786028320115,Alat Ukur dan Teknik Pengukuran Jilid 1,Kelas 10,0
2723,9786028320412,Kimia Industri Jilid 1,Kelas 10,0
2726,9789790600005,Perancangan Sistem Kerja dan Ergonomi Industri Jilid 1,Kelas 10,0
2728,9789790600324,Sistem Refrigasi dan Tata Udara Jilid 1,Kelas 10,0
2730,9789790600478,Teknik Alat Berat Jilid 1,Kelas 10,0
2733,9789790600515,Teknik Bodi Otomotif Jilid 1,Kelas 10,0
2736,9789790600591,Teknik Distribusi Tenaga Listrik Jilid 1,Kelas 10,0
2739,9789790600638,Teknik Gambar Bangunan Jilid 1,Kelas 10,0
2742,9789790600676,Teknik Grafika dan Industri Grafika Jilid 1,Kelas 10,0
2745,9789790600751,Teknik Konstruksi Bangunan Gedung Jilid 1,Kelas 10,0
2747,9789790600782,Teknik Konstruksi Kapal Baja Jilid 1,Kelas 10,0
2749,9789790600812,Teknik Listrik Industri Jilid 1,Kelas 10,0
2752,9789790600850,Teknik Mesin Industri Jilid 1,Kelas 10,0
2755,9789790600898,Teknik Otomasi Industri Jilid 1,Kelas 10,0
2758,9789790600935,Teknik Pemanfaatan Tenaga Listrik Jilid 1,Kelas 10,0
2761,9789790600973,Teknik Pembangkit Tenaga Listrik Jilid 1,Kelas 10,0
2764,9789790601017,Teknik Pembentukan Pelat Jilid 1,Kelas 10,0
2767,9789790601086,Teknik Pembuatan Benang dan Pembuatan Kain Jilid 1,Kelas 10,0
2769,9789790601116,Teknik Pemeliharaan dan Perbaikan Sistem Elektronika Jilid 1,Kelas 10,0
2772,9789790601154,Teknik Pemesinan Jilid 1,Kelas 10,0
2774,9789790601185,Teknik Pencelupan dan Pencapan Jilid 1,Kelas 10,0
2777,9789790601222,Teknik Pengecoran Jilid 1,Kelas 10,0
2780,9789790601260,Teknik Pengelasan Kapal Jilid 1,Kelas 10,0
2782,9789790601369,Teknik Perkayuan Jilid 1,Kelas 10,0
2784,9789790601390,Teknik Produksi Mesin Industri Jilid 1,Kelas 10,0
2787,9789790601437,Teknik Sepeda Motor Jilid 1,Kelas 10,0
2790,9789790601475,Teknik Struktur Bangunan Jilid 1,Kelas 10,0
2793,9789790601512,Teknik Survei dan Pemetaan Jilid 1,Kelas 10,0
2796,9789790601550,Teknik Telekomunikasi Jilid 1,Kelas 10,0
2799,9789790601598,Teknik Transmisi Tenaga Listrik Jilid 1,Kelas 10,0
2802,9789790600072,Rekayasa Perangkat Lunak Jilid 1,Kelas 10,0
2805,9789790600713,Teknik Grafis Komunikasi Jilid 1,Kelas 10,0
2808,9789790601291,Teknik Penyiaran & Produksi Program Radio Televisi dan Film Jilid 1,Kelas 10,0
2810,9786028320306,Ilmu Kesehatan Jilid 1,Kelas 10,0
2812,9786028320887,Pekerjaan Sosial Jilid 1,Kelas 10,0
2815,9786028320009,Agribisnis Ternak Ruminansia Jilid 1,Kelas 10,0
2818,9786028320924,Pengawasan Mutu Bahan Produk Pangan Jilid 1,Kelas 10,0
2820,9789790600553,Teknik Budidaya Tanaman Jilid 1,Kelas 10,0
2823,9789790601055,Teknik Pembibitan Tanaman dan Produksi Benih Jilid 1,Kelas 10,0
2825,9789790601635,Teknologi Pangan Jilid 1,Kelas 10,0
2827,9786028320191,Budidaya Ikan Jilid 1,Kelas 10,0
2830,9786028320771,Nautika Kapal Penangkap Ikan Jilid 1,Kelas 10,0
2833,9796028320085,Akuntansi Industri Jilid 1,Kelas 10,0
2835,9786028320375,Kesekretarisan Jilid 1,Kelas 10,0
2837,9786028320511,Konsep Dasar Akuntansi dan Pelaporan Keuangan Jilid 1,Kelas 10,0
2840,9786028320702,Marketing Jilid 1,Kelas 10,0
2842,9786028320955,Penjualan Jilid 1,Kelas 10,0
2845,9786028320047,Akomodasi Perhotelan Jilid 1,Kelas 10,0
2848,9786028320818,Patiseri Jilid 1,Kelas 10,0
2851,9789790600034,Restoran Jilid 1,Kelas 10,0
2854,9789790600355,Tata Busana Jilid 1,Kelas 10,0
2857,9789790600393,Tata Kecantikan Kulit Jilid 1,Kelas 10,0
2860,9789790600430,Tata Kecantikan Rambut Jilid 1,Kelas 10,0
2863,9789790601321,Teknik Perencanaan Gizi Makanan Jilid 1,Kelas 10,0
2866,9789790601666,Usaha Jasa Pariwisata Jilid 1,Kelas 10,0
2868,9786028320559,Kriya Kayu Jilid 1,Kelas 10,0
2870,9786028320580,Kriya Keramik Jilid 1,Kelas 10,0
2873,9786028320627,Kriya Kulit Jilid 1,Kelas 10,0
2876,9786028320665,Kriya Tekstil Jilid 1,Kelas 10,0
